transaction_datetime,transaction_date,purchase_id,product_id,item_quantity,purchase_value
2023-01-20 22:02:00,2023-01-20,55,696969,10,50.00
2023-01-25 23:59:59,2023-01-25,56,808080,120,2400.00
2023-02-26 03:00:00,2023-02-26,69,373737,2,2000.00
2023-07-12 09:00:00,2023-07-12,55,696969,10,55.00
2023-03-02 08:16:00,2023-03-02,70,111222,3,300.00
2023-03-15 10:00:00,2023-03-15,71,222333,5,750.00
2023-04-04 09:02:00,2023-04-04,72,333444,1,1200.00
2023-04-18 16:07:00,2023-04-18,73,444555,8,640.00
2023-05-22 07:22:00,2023-05-22,74,555666,4,480.00
2023-06-08 10:02:00,2023-06-08,75,666777,6,900.00
2023-06-25 12:05:00,2023-06-25,76,777888,2,150.00
2023-08-03 08:00:00,2023-08-03,70,111222,3,330.00
