transaction_datetime,transaction_date,purchase_id,buyer_id,prod_item_id,order_date,release_date,producer_id
2023-01-20 22:00:00,2023-01-20,55,15947,5,2023-01-20,2023-01-20,852852
2023-01-26 00:01:00,2023-01-26,56,369798,746520,2023-01-25,,963963
2023-02-05 10:00:00,2023-02-05,55,160001,5,2023-01-20,2023-01-20,852852
2023-02-26 03:00:00,2023-02-26,69,160001,18,2023-02-26,2023-02-28,96967
2023-07-15 09:00:00,2023-07-15,55,160001,5,2023-01-20,2023-03-01,852852
2023-03-02 08:15:00,2023-03-02,70,220134,21,2023-03-02,2023-03-02,852852
2023-03-20 14:40:00,2023-03-20,71,331199,33,2023-03-18,2023-03-19,963963
2023-04-04 09:00:00,2023-04-04,72,445566,44,2023-04-03,2023-04-04,96967
2023-05-10 11:30:00,2023-05-10,72,445566,44,2023-04-03,,96967
2023-04-18 16:05:00,2023-04-18,73,556677,55,2023-04-17,2023-04-18,852852
2023-05-22 07:20:00,2023-05-22,74,667788,66,2023-05-21,2023-05-22,963963
2023-05-22 07:20:00,2023-05-22,74,667788,66,2023-05-21,2023-05-22,963963
2023-06-08 10:00:00,2023-06-08,75,778899,77,2023-06-07,2023-06-08,96967
2023-06-08 19:45:00,2023-06-08,75,778899,77,2023-06-07,2023-06-08,852852
2023-06-25 12:00:00,2023-06-25,76,889900,88,2023-06-24,2023-06-25,963963
2023-06-25 12:00:00,2023-06-25,76,889911,88,2023-06-24,2023-06-25,963963
