transaction_datetime,transaction_date,purchase_id,subsidiary
2023-01-23 00:05:00,2023-01-23,55,nacional
2023-01-25 23:59:59,2023-01-25,56,internacional
2023-02-28 01:10:00,2023-02-28,69,nacional
2023-03-12 07:00:00,2023-03-12,69,internacional
2023-03-02 08:20:00,2023-03-02,70,nacional
2023-03-10 09:30:00,2023-03-10,71,internacional
2023-04-04 09:05:00,2023-04-04,72,nacional
2023-05-22 07:25:00,2023-05-22,74,internacional
2023-06-08 10:05:00,2023-06-08,75,nacional
2023-06-25 12:10:00,2023-06-25,76,internacional
2023-09-01 06:00:00,2023-09-01,70,internacional
